                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.69386,                0.42463,                0.85828,                0.90294,                 0.9305,                0.95157,                0.79542,                0.81037,                0.48826,                0.89104,              0.0004357,              0.0004357,              0.0004357
                    117,                0.70326,                0.43053,                0.85913,                0.91499,                0.92383,                  0.953,                0.79345,                0.80014,                0.47226,                0.88999,             0.00043075,             0.00043075,             0.00043075
                    118,                0.69975,                0.42287,                0.85944,                0.87569,                0.94316,                0.95643,                0.79486,                0.81144,                 0.4855,                 0.8898,              0.0004258,              0.0004258,              0.0004258
                    119,                0.69285,                0.41762,                0.85501,                0.89583,                0.94876,                0.95503,                0.78868,                 0.8087,                0.48121,                 0.8929,             0.00042085,             0.00042085,             0.00042085
                    120,                0.69383,                0.42164,                0.85876,                0.89959,                0.94203,                0.95436,                0.79426,                0.80054,                0.48186,                0.88666,              0.0004159,              0.0004159,              0.0004159
                    121,                0.68358,                0.41998,                0.85591,                0.90678,                0.92788,                 0.9507,                 0.7817,                0.81915,                0.49245,                0.89096,             0.00041095,             0.00041095,             0.00041095
                    122,                0.68648,                0.42261,                0.85935,                0.90243,                0.91413,                0.95262,                0.78861,                0.81556,                0.49639,                0.88768,               0.000406,               0.000406,               0.000406
                    123,                0.69041,                0.41468,                0.85836,                0.88718,                0.93568,                0.94252,                0.78025,                0.80788,                0.48388,                0.88907,             0.00040105,             0.00040105,             0.00040105
                    124,                0.68207,                0.41581,                0.85703,                 0.9087,                0.93672,                0.94803,                0.78419,                0.81072,                 0.4927,                0.88888,              0.0003961,              0.0003961,              0.0003961
                    125,                0.68584,                0.41302,                  0.858,                0.88923,                 0.9402,                0.94985,                0.79721,                0.79856,                0.48019,                0.87925,             0.00039115,             0.00039115,             0.00039115
                    126,                0.67639,                0.41364,                0.85604,                0.90868,                0.92901,                0.95649,                0.79128,                 0.8061,                0.47187,                 0.8863,              0.0003862,              0.0003862,              0.0003862
                    127,                0.68548,                0.41607,                0.85717,                0.90218,                0.93748,                 0.9514,                0.79439,                 0.8109,                0.48336,                 0.8869,             0.00038125,             0.00038125,             0.00038125
                    128,                0.67711,                0.40886,                0.85706,                0.90566,                 0.9185,                0.94878,                0.79516,                0.81559,                 0.5012,                0.88575,              0.0003763,              0.0003763,              0.0003763
                    129,                 0.6799,                0.41614,                 0.8552,                0.91676,                 0.9177,                0.94497,                0.78879,                0.80368,                 0.4739,                0.88422,             0.00037135,             0.00037135,             0.00037135
                    130,                0.66462,                0.40384,                0.85398,                0.90978,                 0.9339,                0.95515,                0.79565,                0.80856,                0.47716,                0.88322,              0.0003664,              0.0003664,              0.0003664
                    131,                0.67157,                0.40908,                0.85447,                0.90586,                0.91088,                0.95638,                0.79309,                0.81696,                0.48651,                0.88952,             0.00036145,             0.00036145,             0.00036145
                    132,                0.67298,                0.40441,                0.85215,                0.92105,                0.92506,                0.95719,                0.79382,                0.81105,                0.47789,                0.89069,              0.0003565,              0.0003565,              0.0003565
                    133,                0.66371,                0.40266,                0.84968,                0.93148,                0.94251,                0.95673,                0.80044,                0.80569,                0.47506,                0.88717,             0.00035155,             0.00035155,             0.00035155
                    134,                 0.6722,                0.41052,                0.85255,                0.91471,                 0.9196,                0.95969,                0.80982,                0.79983,                0.48071,                0.88556,              0.0003466,              0.0003466,              0.0003466
                    135,                0.66808,                0.39904,                 0.8509,                0.88017,                0.94351,                0.96045,                0.80854,                0.79712,                0.47056,                0.88391,             0.00034165,             0.00034165,             0.00034165
                    136,                0.66983,                0.40614,                0.85026,                0.92827,                0.94023,                0.96387,                0.80481,                0.79363,                0.45878,                0.88195,              0.0003367,              0.0003367,              0.0003367
                    137,                0.66966,                0.40703,                0.85354,                0.90476,                0.92361,                0.96145,                0.80384,                0.79737,                0.45438,                0.88412,             0.00033175,             0.00033175,             0.00033175
                    138,                  0.659,                0.40005,                0.85133,                0.94283,                0.90351,                0.95049,                0.79162,                0.80276,                0.47477,                0.88736,              0.0003268,              0.0003268,              0.0003268
                    139,                0.66406,                0.40574,                0.85251,                0.91824,                0.91241,                0.95779,                0.79908,                0.79747,                0.48069,                0.88801,             0.00032185,             0.00032185,             0.00032185
                    140,                0.66545,                0.40017,                0.85117,                0.91087,                0.91373,                0.95812,                 0.7963,                0.79501,                0.47827,                0.88945,              0.0003169,              0.0003169,              0.0003169
                    141,                0.64487,                0.38979,                0.84494,                0.90542,                 0.9052,                 0.9553,                0.79703,                0.80037,                0.48367,                0.89108,             0.00031195,             0.00031195,             0.00031195
                    142,                0.65794,                0.39539,                0.85045,                0.89328,                0.93315,                0.94851,                0.78526,                0.80473,                0.48269,                0.89176,               0.000307,               0.000307,               0.000307
                    143,                0.64873,                0.39098,                0.84652,                0.90861,                0.92458,                0.95142,                0.78586,                 0.8012,                0.48027,                 0.8889,             0.00030205,             0.00030205,             0.00030205
                    144,                0.65187,                0.38843,                0.84827,                0.90482,                0.91665,                0.96069,                 0.7943,                0.80315,                0.47516,                0.88815,              0.0002971,              0.0002971,              0.0002971
                    145,                0.65054,                0.39214,                0.84592,                0.92105,                0.93371,                0.95658,                0.79397,                 0.7912,                0.47874,                0.88401,             0.00029215,             0.00029215,             0.00029215
                    146,                0.64436,                0.38679,                 0.8479,                0.91375,                0.93603,                0.95736,                0.79121,                0.80818,                  0.475,                0.88676,              0.0002872,              0.0002872,              0.0002872
                    147,                 0.6428,                0.39139,                0.84405,                0.91103,                0.93555,                0.95735,                0.78948,                0.79488,                0.47788,                 0.8852,             0.00028225,             0.00028225,             0.00028225
